V,CL
18,0.882041706
18.1,0.872322312
18.2,0.862762687
18.3,0.85335935
18.4,0.84410891
18.5,0.835008072
18.6,0.826053626
18.7,0.817242451
18.8,0.808571505
18.9,0.800037828
19,0.791638539
19.1,0.78337083
19.2,0.775231968
19.3,0.767219288
19.4,0.759330196
19.5,0.751562163
19.6,0.743912725
19.7,0.736379481
19.8,0.728960087
19.9,0.721652263
20,0.714453782
20.1,0.707362473
20.2,0.70037622
20.3,0.693492957
20.4,0.68671067
20.5,0.680027395
20.6,0.673441212
20.7,0.66695025
20.8,0.660552683
20.9,0.654246727
21,0.648030641
21.1,0.641902726
21.2,0.635861322
21.3,0.629904809
21.4,0.624031602
21.5,0.618240157
21.6,0.612528962
21.7,0.606896542
21.8,0.601341454
21.9,0.595862289
22,0.590457671
22.1,0.585126252
22.2,0.579866717
22.3,0.574677779
22.4,0.56955818
22.5,0.564506692
22.6,0.559522109
22.7,0.554603258
22.8,0.549748985
22.9,0.544958167
23,0.540229702
23.1,0.535562513
23.2,0.530955545
23.3,0.526407767
23.4,0.521918169
23.5,0.517485763
23.6,0.513109582
23.7,0.508788678
23.8,0.504522125
23.9,0.500309015
24,0.496148459
24.1,0.492039587
24.2,0.487981546
24.3,0.483973501
24.4,0.480014634
24.5,0.476104144
24.6,0.472241246
24.7,0.468425171
24.8,0.464655165
24.9,0.460930489
25,0.45725042
25.1,0.453614248
25.2,0.450021278
25.3,0.446470828
25.4,0.44296223
25.5,0.439494829
25.6,0.436067982
25.7,0.432681059
25.8,0.429333442
25.9,0.426024526
26,0.422753717
26.1,0.419520431
26.2,0.416324096
26.3,0.413164152
26.4,0.410040049
26.5,0.406951246
26.6,0.403897214
26.7,0.400877432
26.8,0.397891391
26.9,0.394938589
27,0.392018536
